BinID,Enrichment,Best_Classification,Completeness,Contamination,Quality,Classification,Confidence,Tax_Level
Laura1metabat.1,Laura1,Proteobacteria_0.32_phylum,0.31347962382445144,0,Low,Proteobacteria,0.32,phylum
Laura1metabat.10,Laura1,Pusillimonas noertemannii_0.47_species,63.06105380540842,3.080568720379147,Medium,Pusillimonas noertemannii,0.47,species
Laura1metabat.11,Laura1,Ancylobacter_0.33_genus,77.58620689655173,4.310344827586207,Medium,Ancylobacter,0.33,genus
Laura1metabat.12,Laura1,Phyllobacteriaceae_0.45_family,74.68652037617555,19.70219435736677,Contaminated,Phyllobacteriaceae,0.45,family
Laura1metabat.13,Laura1,Rhodospirillales_0.39_order,84.03814262023216,3.150912106135986,Medium,Rhodospirillales,0.39,order
Laura1metabat.14,Laura1,Alcaligenaceae_0.72_family,70.14218009478672,0.04308487720809996,Medium,Alcaligenaceae,0.72,family
Laura1metabat.15,Laura1,Pseudomonas_0.57_genus,60.6896551724138,1.7241379310344827,Medium,Pseudomonas,0.57,genus
Laura1metabat.16,Laura1,Cytophagaceae bacterium SCN 52-12_0.71_species,99.70238095238095,0.7440476190476191,High,Cytophagaceae bacterium SCN 52-12,0.71,species
Laura1metabat.17,Laura1,Paracoccus alcaliphilus_0.80_species,97.12121212121212,1.9949494949494948,High,Paracoccus alcaliphilus,0.8,species
Laura1metabat.18,Laura1,Parapedobacter_0.77_genus,99.84126984126983,1.1904761904761905,High,Parapedobacter,0.77,genus
Laura1metabat.19,Laura1,Pelagibacterium_0.65_genus,100,21.473354231974923,Contaminated,Pelagibacterium,0.65,genus
Laura1metabat.2,Laura1,Caulobacterales_0.30_order,18.96551724137931,5.172413793103448,Low,Caulobacterales,0.3,order
Laura1metabat.20,Laura1,Phyllobacteriaceae_0.38_family,0,0,Low,Phyllobacteriaceae,0.38,family
Laura1metabat.21,Laura1,Ancylobacter_0.74_genus,39.98432601880877,0,Low,Ancylobacter,0.74,genus
Laura1metabat.22,Laura1,Pseudomonas_0.47_genus,57.24137931034483,1.7241379310344827,Medium,Pseudomonas,0.47,genus
Laura1metabat.23,Laura1,Betaproteobacteria_0.91_class,76.72174009790831,0.4672897196261682,Medium,Betaproteobacteria,0.91,class
Laura1metabat.24,Laura1,Phyllobacteriaceae_0.41_family,89.03688524590164,36.701233647954965,Contaminated,Phyllobacteriaceae,0.41,family
Laura1metabat.25,Laura1,Achromobacter_0.81_genus,84.869435163950655,0.4984423676012461,Medium,Achromobacter,0.81,genus
Laura1metabat.26,Laura1,Hyphomicrobiaceae_0.33_family,84.35792349726776,0.4098360655737705,Medium,Hyphomicrobiaceae,0.33,family
Laura1metabat.27,Laura1,Luteimonas_0.50_genus,86.20689655172414,0.5090311986863711,Medium,Luteimonas,0.5,genus
Laura1metabat.28,Laura1,Ochrobactrum_0.35_genus,14.583333333333334,0,Low,Ochrobactrum,0.35,genus
Laura1metabat.29,Laura1,Achromobacter_0.84_genus,3.4482758620689653,0,Low,Achromobacter,0.84,genus
Laura1metabat.3,Laura1,Parapedobacter_0.63_genus,3.4482758620689653,0,Low,Parapedobacter,0.63,genus
Laura1metabat.30,Laura1,Comamonadaceae_0.46_family,98.59813084112149,0.9657320872274141,High,Comamonadaceae,0.46,family
Laura1metabat.31,Laura1,Rhodobacteraceae_0.54_family,87.9040404040404,1.3111888111888113,Medium,Rhodobacteraceae,0.54,family
Laura1metabat.32,Laura1,Alphaproteobacteria_0.31_class,96.36075949367088,2.689873417721519,High,Alphaproteobacteria,0.31,class
Laura1metabat.33,Laura1,Alcaligenaceae_0.63_family,52.72585669781931,15.23281041388518,Contaminated,Alcaligenaceae,0.63,family
Laura1metabat.34,Laura1,Alcaligenaceae_0.85_family,66.8025078369906,2.586206896551724,Medium,Alcaligenaceae,0.85,family
Laura1metabat.35,Laura1,Rhizobiales_0.83_order,85.18442622950819,15.27570789865872,Contaminated,Rhizobiales,0.83,order
Laura1metabat.36,Laura1,Hyphomonas_0.31_genus,80.99173553719008,0.3246753246753247,Medium,Hyphomonas,0.31,genus
Laura1metabat.37,Laura1,Proteobacteria_0.97_phylum,68.18926974664679,2.903005464480874,Medium,Proteobacteria,0.97,phylum
Laura1metabat.38,Laura1,Shinella_0.60_genus,86.26436781609195,94.88505747126436,Contaminated,Shinella,0.6,genus
Laura1metabat.39,Laura1,Pelagibacterium_0.33_genus,97.62295081967213,7.786885245901639,Medium,Pelagibacterium,0.33,genus
Laura1metabat.4,Laura1,Paracoccus_0.50_genus,0,0,Low,Paracoccus,0.5,genus
Laura1metabat.40,Laura1,Rhizobiales_0.47_order,34.48275862068966,5.172413793103448,Low,Rhizobiales,0.47,order
Laura1metabat.41,Laura1,Rhodococcus_0.65_genus,83.05031446540882,0.5660377358490566,Medium,Rhodococcus,0.65,genus
Laura1metabat.42,Laura1,Hyphomonas_0.32_genus,12.068965517241379,0,Low,Hyphomonas,0.32,genus
Laura1metabat.43,Laura1,Rhodococcus_0.98_genus,0,0,Low,Rhodococcus,0.98,genus
Laura1metabat.44,Laura1,Alcaligenaceae bacterium_0.55_species,91.92849177585725,5.687203791469194,Medium,Alcaligenaceae bacterium,0.55,species
Laura1metabat.46,Laura1,Naegleria_0.39_genus,17.863113897596655,4.007314524555904,Low,Naegleria,0.39,genus
Laura1metabat.47,Laura1,Brevundimonas_0.75_genus,83.0364170461573,0.7575757575757576,Medium,Brevundimonas,0.75,genus
Laura1metabat.48,Laura1,Sphingobacteriaceae_0.35_family,97.61904761904762,0.47619047619047616,High,Sphingobacteriaceae,0.35,family
Laura1metabat.49,Laura1,Hydrogenophaga_0.66_genus,96.17406542056075,2.336448598130841,High,Hydrogenophaga,0.66,genus
Laura1metabat.5,Laura1,Parapedobacter_0.85_genus,92.69841269841268,0.47619047619047616,High,Parapedobacter,0.85,genus
Laura1metabat.50,Laura1,Legionella_0.55_genus,98.11117635545116,1.3358778625954197,High,Legionella,0.55,genus
Laura1metabat.51,Laura1,Rhodococcus_0.85_genus,0,0,Low,Rhodococcus,0.85,genus
Laura1metabat.52,Laura1,Rhodobacter sp. SGA-6-6_0.61_species,97.74242424242425,1.3131313131313131,High,Rhodobacter sp. SGA-6-6,0.61,species
Laura1metabat.53,Laura1,Mesorhizobium sediminum_0.37_species,67.58620689655173,1.7241379310344827,Medium,Mesorhizobium sediminum,0.37,species
Laura1metabat.54,Laura1,Actinobacteria_0.34_class,93.92255892255893,0.25252525252525254,High,Actinobacteria,0.34,class
Laura1metabat.55,Laura1,Phyllobacteriaceae_0.52_family,1.7241379310344827,0,Low,Phyllobacteriaceae,0.52,family
Laura1metabat.56,Laura1,Chelatococcus_0.68_genus,33.07210031347962,0.31347962382445144,Low,Chelatococcus,0.68,genus
Laura1metabat.57,Laura1,Rhodococcus_0.97_genus,88.35227272727273,0.3787878787878788,Medium,Rhodococcus,0.97,genus
Laura1metabat.59,Laura1,Alphaproteobacteria bacterium HGW-Alphaproteobacteria-11_0.67_species,25.830721003134798,1.7241379310344827,Low,Alphaproteobacteria bacterium HGW-Alphaproteobacteria-11,0.67,species
Laura1metabat.6,Laura1,Candidatus Dependentiae bacterium_0.34_species,55.28455284552845,0.8130081300813008,Medium,Candidatus Dependentiae bacterium,0.34,species
Laura1metabat.60,Laura1,Achromobacter phage Motura_0.39_species,0,0,Low,Achromobacter phage Motura,0.39,species
Laura1metabat.62,Laura1,Comamonadaceae_0.35_family,1.2461059190031152,0,Low,Comamonadaceae,0.35,family
Laura1metabat.63,Laura1,Acidobacteria_0.66_phylum,98.71794871794872,4.273504273504273,High,Acidobacteria,0.66,phylum
Laura1metabat.64,Laura1,Hyphomicrobiaceae_0.33_family,1.7241379310344827,0,Low,Hyphomicrobiaceae,0.33,family
Laura1metabat.65,Laura1,Sphingobacterium_0.96_genus,87.42857142857143,1.9047619047619047,Medium,Sphingobacterium,0.96,genus
Laura1metabat.66,Laura1,Burkholderiales_0.36_order,32.758620689655174,5.172413793103448,Low,Burkholderiales,0.36,order
Laura1metabat.67,Laura1,Caulobacterales_0.32_order,12.068965517241379,0.15673981191222572,Low,Caulobacterales,0.32,order
Laura1metabat.68,Laura1,Rhodococcus_0.71_genus,7.836990595611285,0,Low,Rhodococcus,0.71,genus
Laura1metabat.69,Laura1,Sphingobacteriaceae_0.56_family,95.71428571428571,0,High,Sphingobacteriaceae,0.56,family
Laura1metabat.7,Laura1,Pelagibacterium_0.37_genus,98.15573770491804,1.639344262295082,High,Pelagibacterium,0.37,genus
Laura1metabat.70,Laura1,Chelatococcus_0.64_genus,56.89655172413793,5.172413793103448,Medium,Chelatococcus,0.64,genus
Laura1metabat.71,Laura1,Achromobacter_0.83_genus,77.58566978193146,4.4392523364485985,Medium,Achromobacter,0.83,genus
Laura1metabat.72,Laura1,Pseudaminobacter arsenicus_0.51_species,68.7460815047022,8.620689655172415,Medium,Pseudaminobacter arsenicus,0.51,species
Laura1metabat.73,Laura1,Hyphomonas_0.38_genus,12.068965517241379,0,Low,Hyphomonas,0.38,genus
Laura1metabat.74,Laura1,Xanthomonadaceae_0.60_family,0,0,Low,Xanthomonadaceae,0.6,family
Laura1metabat.75,Laura1,Sphingobacteriaceae_0.55_family,0,0,Low,Sphingobacteriaceae,0.55,family
Laura1metabat.76,Laura1,Brevundimonas_0.74_genus,90.89292741890144,0.7359307359307359,High,Brevundimonas,0.74,genus
Laura1metabat.77,Laura1,Comamonadaceae_0.32_family,0,0,Low,Comamonadaceae,0.32,family
Laura1metabat.78,Laura1,Hyphomicrobiaceae_0.34_family,94.4672131147541,0.4098360655737705,High,Hyphomicrobiaceae,0.34,family
Laura1metabat.79,Laura1,Devosia_0.66_genus,56.89655172413793,0,Medium,Devosia,0.66,genus
Laura1metabat.8,Laura1,Rhodospirillales_0.39_order,12.068965517241379,0,Low,Rhodospirillales,0.39,order
Laura1metabat.9,Laura1,Caulobacterales_0.35_order,67.8030303030303,0,Medium,Caulobacterales,0.35,order
Emma2metabat.1,Emma2,Rhodobacter sp. SGA-6-6_0.51_species,0,0,Low,Rhodobacter sp. SGA-6-6,0.51,species
Emma2metabat.10,Emma2,Achromobacter_0.81_genus,6.0344827586206895,0,Low,Achromobacter,0.81,genus
Emma2metabat.11,Emma2,Trueperaceae bacterium*_0.38_species,21.379310344827587,0,Low,Trueperaceae bacterium*,0.38,species
Emma2metabat.12,Emma2,Rhodococcus_1.00_genus,0,0,Low,Rhodococcus,1,genus
Emma2metabat.13,Emma2,Achromobacter_0.74_genus,51.191222570532915,0,Medium,Achromobacter,0.74,genus
Emma2metabat.14,Emma2,Achromobacter_0.85_genus,52.758620689655174,1.7241379310344827,Medium,Achromobacter,0.85,genus
Emma2metabat.15,Emma2,Rhodococcus_0.97_genus,0,0,Low,Rhodococcus,0.97,genus
Emma2metabat.16,Emma2,Alcaligenaceae_0.34_family,85.34552845528455,0.6097560975609756,Medium,Alcaligenaceae,0.34,family
Emma2metabat.17,Emma2,Paracoccus_0.94_genus,85.68181818181819,0.5934343434343434,Medium,Paracoccus,0.94,genus
Emma2metabat.18,Emma2,Rhodococcus_0.91_genus,0,0,Low,Rhodococcus,0.91,genus
Emma2metabat.19,Emma2,Hydrogenophaga_0.68_genus,86.44859813084112,3.8050734312416554,Medium,Hydrogenophaga,0.68,genus
Emma2metabat.2,Emma2,Phyllobacteriaceae_0.34_family,8.620689655172415,0,Low,Phyllobacteriaceae,0.34,family
Emma2metabat.20,Emma2,Chelatococcus_0.69_genus,48.4928864239209,1.09717868338558,Low,Chelatococcus,0.69,genus
Emma2metabat.21,Emma2,Pelagibacterium_0.66_genus,45.40229885057471,0,Low,Pelagibacterium,0.66,genus
Emma2metabat.22,Emma2,Alcaligenaceae_0.32_family,13.793103448275861,0,Low,Alcaligenaceae,0.32,family
Emma2metabat.23,Emma2,Dokdonella koreensis_0.84_species,82.75862068965517,0.8620689655172413,Medium,Dokdonella koreensis,0.84,species
Emma2metabat.24,Emma2,Mesorhizobium sediminum_0.31_species,88.64754098360656,13.702185792349729,Contaminated,Mesorhizobium sediminum,0.31,species
Emma2metabat.25,Emma2,Proteobacteria_0.95_phylum,27.93103448275862,0,Low,Proteobacteria,0.95,phylum
Emma2metabat.26,Emma2,Pseudomonas_0.59_genus,9.482758620689655,0,Low,Pseudomonas,0.59,genus
Emma2metabat.27,Emma2,Aquamicrobium lusatiense_0.62_species,74.20765027322405,1.57103825136612,Medium,Aquamicrobium lusatiense,0.62,species
Emma2metabat.28,Emma2,Rhodococcus_0.66_genus,82.22596585804132,1.7924528301886793,Medium,Rhodococcus,0.66,genus
Emma2metabat.29,Emma2,Achromobacter_0.81_genus,91.30885438958484,3.1230529595015577,High,Achromobacter,0.81,genus
Emma2metabat.3,Emma2,Brevundimonas_0.73_genus,91.88515488840163,1.8939393939393936,High,Brevundimonas,0.73,genus
Emma2metabat.30,Emma2,Shinella_0.64_genus,88.662486938349,109.82758620689656,Contaminated,Shinella,0.64,genus
Emma2metabat.31,Emma2,Naegleria_0.41_genus,61.44200626959248,28.803552769070013,Contaminated,Naegleria,0.41,genus
Emma2metabat.32,Emma2,Alphaproteobacteria bacterium HGW-Alphaproteobacteria-11_0.67_species,36.206896551724135,0,Low,Alphaproteobacteria bacterium HGW-Alphaproteobacteria-11,0.67,species
Emma2metabat.33,Emma2,Rhizobiales_0.81_order,87.7608047690015,18.194444444444443,Contaminated,Rhizobiales,0.81,order
Emma2metabat.34,Emma2,Rhizobiales_0.37_order,57.8446348733234,1.553651266766021,Medium,Rhizobiales,0.37,order
Emma2metabat.35,Emma2,Alcaligenaceae_0.72_family,96.6824644549763,0.5960074680453827,High,Alcaligenaceae,0.72,family
Emma2metabat.36,Emma2,Achromobacter_0.76_genus,25.862068965517242,1.7241379310344827,Low,Achromobacter,0.76,genus
Emma2metabat.37,Emma2,Pelagibacterium_0.31_genus,39.6551724137931,0,Low,Pelagibacterium,0.31,genus
Emma2metabat.39,Emma2,Proteobacteria_0.97_phylum,87.59562841530055,5.327868852459017,Medium,Proteobacteria,0.97,phylum
Emma2metabat.4,Emma2,Sphingobacteriaceae_0.56_family,100,0,High,Sphingobacteriaceae,0.56,family
Emma2metabat.40,Emma2,Rhizobiales_0.67_order,90.75235109717869,75.23510971786834,Contaminated,Rhizobiales,0.67,order
Emma2metabat.41,Emma2,Rhodococcus_0.98_genus,18.96551724137931,0,Low,Rhodococcus,0.98,genus
Emma2metabat.43,Emma2,Xenophilus azovorans_0.81_species,92.5233644859813,0.4672897196261682,High,Xenophilus azovorans,0.81,species
Emma2metabat.44,Emma2,Rhodococcus_0.90_genus,0,0,Low,Rhodococcus,0.9,genus
Emma2metabat.45,Emma2,Rhodococcus_0.98_genus,0,0,Low,Rhodococcus,0.98,genus
Emma2metabat.46,Emma2,Pseudomonas_0.47_genus,91.64141414141415,3.573888232979142,High,Pseudomonas,0.47,genus
Emma2metabat.47,Emma2,Shinella zoogloeoides_0.42_species,18.96551724137931,0,Low,Shinella zoogloeoides,0.42,species
Emma2metabat.48,Emma2,Pelagibacterium_0.35_genus,86.88524590163935,0.6147540983606558,Medium,Pelagibacterium,0.35,genus
Emma2metabat.49,Emma2,Hyphomicrobiaceae_0.34_family,64.34426229508196,9.221311475409836,Medium,Hyphomicrobiaceae,0.34,family
Emma2metabat.5,Emma2,Brevundimonas_0.76_genus,10.344827586206897,1.7241379310344827,Low,Brevundimonas,0.76,genus
Emma2metabat.50,Emma2,Rhodococcus_0.97_genus,88.51085257335257,15.557359307359306,Contaminated,Rhodococcus,0.97,genus
Emma2metabat.51,Emma2,Pusillimonas noertemannii_0.44_species,97.91671946676128,0.9478672985781991,High,Pusillimonas noertemannii,0.44,species
Emma2metabat.52,Emma2,Aquamicrobium lusatiense_0.55_species,0,0,Low,Aquamicrobium lusatiense,0.55,species
Emma2metabat.53,Emma2,Taibaiella_0.32_genus,0,0,Low,Taibaiella,0.32,genus
Emma2metabat.54,Emma2,Betaproteobacteria_0.89_class,80.80218068535824,1.8691588785046729,Medium,Betaproteobacteria,0.89,class
Emma2metabat.55,Emma2,Brevundimonas_0.75_genus,83.96652049249451,0.9199134199134199,Medium,Brevundimonas,0.75,genus
Emma2metabat.56,Emma2,Phyllobacteriaceae_0.48_family,55.172413793103445,0,Medium,Phyllobacteriaceae,0.48,family
Emma2metabat.57,Emma2,Xanthomonadaceae_0.41_family,94.02298850574712,0.22701149425287354,High,Xanthomonadaceae,0.41,family
Emma2metabat.58,Emma2,Hyphomonas_0.33_genus,99.35064935064935,0.974025974025974,High,Hyphomonas,0.33,genus
Emma2metabat.59,Emma2,Rhizobiales_0.74_order,86.4617486338798,11.270491803278688,Contaminated,Rhizobiales,0.74,order
Emma2metabat.6,Emma2,Comamonadaceae_0.40_family,20.689655172413794,0,Low,Comamonadaceae,0.4,family
Emma2metabat.60,Emma2,Hydrogenophaga_0.59_genus,6.896551724137931,0,Low,Hydrogenophaga,0.59,genus
Emma2metabat.61,Emma2,Xanthomonadaceae_0.86_family,82.75862068965517,0,Medium,Xanthomonadaceae,0.86,family
Emma2metabat.62,Emma2,Rhizobiaceae_0.64_family,0,0,Low,Rhizobiaceae,0.64,family
Emma2metabat.63,Emma2,Rhodobacter sp. SGA-6-6_0.60_species,87.81818181818181,0.9090909090909091,Medium,Rhodobacter sp. SGA-6-6,0.6,species
Emma2metabat.64,Emma2,Cytophagaceae bacterium SCN 52-12_0.74_species,88.69047619047619,1.4384920634920635,Medium,Cytophagaceae bacterium SCN 52-12,0.74,species
Emma2metabat.65,Emma2,Rhodococcus_0.90_genus,0,0,Low,Rhodococcus,0.9,genus
Emma2metabat.66,Emma2,Chelatococcus_0.36_genus,32.758620689655174,5.172413793103448,Low,Chelatococcus,0.36,genus
