BinID,Enrichment,product,gene,Classification,Confidence,Tax_Level,Quality,EC_number,General_Pathway
Laura1metabat.16,Laura1,3-ketoacyl-CoA thiolase,fadA,Cytophagaceae bacterium SCN 52-12,0.71,species,High,2.3.1.16,Benzoate degradation
Laura1metabat.16,Laura1,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,odhB,Cytophagaceae bacterium SCN 52-12,0.71,species,High,2.3.1.61,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,(S)-mandelate dehydrogenase,mdlB,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.99.31,Aminobenzoate degradation
Laura1metabat.16,Laura1,4-sulfomuconolactone hydrolase,NA,Cytophagaceae bacterium SCN 52-12,0.71,species,High,3.1.1.92,Aminobenzoate degradation
Laura1metabat.16,Laura1,Succinate--CoA ligase [ADP-forming] subunit alpha,sucD,Cytophagaceae bacterium SCN 52-12,0.71,species,High,6.2.1.5,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,3-hydroxybutyryl-CoA dehydrogenase,fadB2_1,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.1.157,Benzoate degradation
Laura1metabat.16,Laura1,Succinate--CoA ligase [ADP-forming] subunit beta,sucC,Cytophagaceae bacterium SCN 52-12,0.71,species,High,6.2.1.5,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Acetyl-CoA acetyltransferase,thlA,Cytophagaceae bacterium SCN 52-12,0.71,species,High,2.3.1.9,Benzoate degradation
Laura1metabat.16,Laura1,2-oxoglutarate dehydrogenase E1 component,sucA,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.2.4.2,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Malate dehydrogenase,mdh,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.1.37,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,"Catechol-2,3-dioxygenase",catE,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.13.11.2,Benzoate degradation
Laura1metabat.16,Laura1,Isocitrate dehydrogenase [NADP],icd_1,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.1.42,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Fumarate reductase iron-sulfur subunit,frdB,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.3.5.1,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Fumarate reductase flavoprotein subunit,frdA,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.3.5.4,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,putative 3-hydroxyacyl-CoA dehydrogenase,fadN,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.1.35,Benzoate degradation
Laura1metabat.16,Laura1,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK,Cytophagaceae bacterium SCN 52-12,0.71,species,High,4.1.3.17,Benzoate degradation
Laura1metabat.16,Laura1,3-hydroxybutyryl-CoA dehydrogenase,hbd,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.1.157,Benzoate degradation
Laura1metabat.16,Laura1,3-hydroxybutyryl-CoA dehydrogenase,fadB2_2,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.1.157,Benzoate degradation
Laura1metabat.16,Laura1,Isocitrate dehydrogenase [NADP],icd_2,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.1.1.42,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Dihydrolipoyl dehydrogenase,lpd,Cytophagaceae bacterium SCN 52-12,0.71,species,High,1.8.1.4,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Pyruvate carboxylase,pycA,Cytophagaceae bacterium SCN 52-12,0.71,species,High,6.4.1.1,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Phosphoenolpyruvate carboxykinase (ATP),pckA,Cytophagaceae bacterium SCN 52-12,0.71,species,High,4.1.1.49,Citrate cycle (TCA cycle)
Laura1metabat.16,Laura1,Fumarate hydratase class II,fumC,Cytophagaceae bacterium SCN 52-12,0.71,species,High,4.2.1.2,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,putative 3-hydroxybutyryl-CoA dehydrogenase,mmgB,Paracoccus alcaliphilus,0.8,species,High,1.1.1.157,Benzoate degradation
Laura1metabat.17,Laura1,Phosphoenolpyruvate carboxykinase (ATP),pckA,Paracoccus alcaliphilus,0.8,species,High,4.1.1.49,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Succinate dehydrogenase iron-sulfur subunit,sdhB,Paracoccus alcaliphilus,0.8,species,High,1.3.5.1,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Succinate dehydrogenase flavoprotein subunit,sdhA,Paracoccus alcaliphilus,0.8,species,High,1.3.5.1,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Malate dehydrogenase,mdh,Paracoccus alcaliphilus,0.8,species,High,1.1.1.37,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Aconitate hydratase A,acnA,Paracoccus alcaliphilus,0.8,species,High,4.2.1.3,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Isocitrate dehydrogenase [NADP],icd,Paracoccus alcaliphilus,0.8,species,High,1.1.1.42,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Beta-ketoadipyl-CoA thiolase,pcaF,Paracoccus alcaliphilus,0.8,species,High,2.3.1.174,Benzoate degradation
Laura1metabat.17,Laura1,3-oxoadipate CoA-transferase subunit B,pcaJ,Paracoccus alcaliphilus,0.8,species,High,2.8.3.6,Benzoate degradation
Laura1metabat.17,Laura1,3-oxoadipate CoA-transferase subunit A,pcaI,Paracoccus alcaliphilus,0.8,species,High,2.8.3.6,Benzoate degradation
Laura1metabat.17,Laura1,Enoyl-CoA-hydratase,dpgD_1,Paracoccus alcaliphilus,0.8,species,High,4.2.1.17,Benzoate degradation
Laura1metabat.17,Laura1,Enoyl-CoA-hydratase,dpgD_1,Paracoccus alcaliphilus,0.8,species,High,4.2.1.17,Aminobenzoate degradation
Laura1metabat.17,Laura1,Dihydrolipoyl dehydrogenase,lpd,Paracoccus alcaliphilus,0.8,species,High,1.8.1.4,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Pyruvate carboxylase,pycA,Paracoccus alcaliphilus,0.8,species,High,6.4.1.1,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,Acetyl-CoA acetyltransferase,NA,Paracoccus alcaliphilus,0.8,species,High,2.3.1.9,Benzoate degradation
Laura1metabat.17,Laura1,Fumarate hydratase class II,fumC,Paracoccus alcaliphilus,0.8,species,High,4.2.1.2,Citrate cycle (TCA cycle)
Laura1metabat.17,Laura1,putative enoyl-CoA hydratase echA8,echA8,Paracoccus alcaliphilus,0.8,species,High,4.2.1.17,Benzoate degradation
Laura1metabat.17,Laura1,putative enoyl-CoA hydratase echA8,echA8,Paracoccus alcaliphilus,0.8,species,High,4.2.1.17,Aminobenzoate degradation
Laura1metabat.17,Laura1,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,pdhC,Paracoccus alcaliphilus,0.8,species,High,2.3.1.12,Citrate cycle (TCA cycle)
