BinID,Enrichment,Marker_Genes,Genomes,Markers,Marker_Sets,Completeness,Contamination,GC,GC_std,Genome_Size,Ambiguous_Bases,Scaffolds,Contigs,Predicted_Genes,Quality
Laura1metabat.20,Laura1,{marker lineage: root,5656,56," marker sets: 24, 0: 56, 1: 0, 2: 0, 3: 0, 4: 0, 5+: 0",0,0,0.602445097246945,0.007863195240677613,549426,0,18," contigs: 18, Longest scaffold: 163211, Longest contig: 163211, N50 (scaffolds): 43105, N50 (contigs): 43105, Mean scaffold length: 30523.666666666668, Mean contig length: 30523.666666666668, Coding density: 0.8703392267566515, Translation table: 11"," predicted genes: 575, GCN0: [PF00281, PF01193, PF00573, PF00416, PF00318, PF00466, PF00623, PF00333, PF00861, PF03947, PF00831, PF01509, PF00238, PF04983, PF00177, PF04565, TIGR00344, PF03484, PF00164, PF00366, PF00411, PF00347, TIGR00392, PF04560, TIGR00329, PF03719, PF00203, TIGR00468, PF00338, PF00252, PF00312, PF05000, PF01000, PF00572, PF11987, PF00298, PF00189, PF03946, PF04563, TIGR00755, PF00297, PF00673, PF00687, PF00410, PF04997, PF08459, PF00181, TIGR00967, PF00562, PF02978, PF00276, PF13184, PF04561, PF00162, PF00237, PF00380], GCN1: [], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.28,Laura1,{marker lineage: root,5656,56," marker sets: 24, 0: 51, 1: 5, 2: 0, 3: 0, 4: 0, 5+: 0",14.583333333333334,0,0.5697595465946484,0.013832690367993044,1111941,0,230," contigs: 230, Longest scaffold: 15682, Longest contig: 15682, N50 (scaffolds): 5098, N50 (contigs): 5098, Mean scaffold length: 4834.526086956522, Mean contig length: 4834.526086956522, Coding density: 0.8977994336030419, Translation table: 11"," predicted genes: 1213, GCN0: [PF00281, PF00573, PF00416, PF00318, PF00466, PF00623, PF00333, PF00861, PF03947, PF00831, PF01509, PF00238, PF04983, PF00177, PF04565, TIGR00344, PF00164, PF00366, PF00411, PF00347, TIGR00392, PF04560, PF03719, PF00203, PF00338, PF00252, PF00312, PF05000, PF00572, PF11987, PF00298, PF00189, PF03946, PF04563, TIGR00755, PF00297, PF00673, PF00687, PF00410, PF04997, PF08459, PF00181, TIGR00967, PF00562, PF02978, PF00276, PF13184, PF04561, PF00162, PF00237, PF00380], GCN1: [PF01193, PF03484, TIGR00329, TIGR00468, PF01000], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.4,Laura1,{marker lineage: root,5656,56," marker sets: 24, 0: 56, 1: 0, 2: 0, 3: 0, 4: 0, 5+: 0",0,0,0.6138073553432658,0.007853177858532975,323248,0,17," contigs: 17, Longest scaffold: 69695, Longest contig: 69695, N50 (scaffolds): 31260, N50 (contigs): 31260, Mean scaffold length: 19014.58823529412, Mean contig length: 19014.58823529412, Coding density: 0.8632536009503539, Translation table: 11"," predicted genes: 342, GCN0: [PF00281, PF01193, PF00573, PF00416, PF00318, PF00466, PF00623, PF00333, PF00861, PF03947, PF00831, PF01509, PF00238, PF04983, PF00177, PF04565, TIGR00344, PF03484, PF00164, PF00366, PF00411, PF00347, TIGR00392, PF04560, TIGR00329, PF03719, PF00203, TIGR00468, PF00338, PF00252, PF00312, PF05000, PF01000, PF00572, PF11987, PF00298, PF00189, PF03946, PF04563, TIGR00755, PF00297, PF00673, PF00687, PF00410, PF04997, PF08459, PF00181, TIGR00967, PF00562, PF02978, PF00276, PF13184, PF04561, PF00162, PF00237, PF00380], GCN1: [], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.1,Laura1,{marker lineage: k__Bacteria,5449,104," marker sets: 58, 0: 102, 1: 2, 2: 0, 3: 0, 4: 0, 5+: 0",0.31347962382445144,0,0.5409545981883025,0.0014116339907834139,256003,0,2," contigs: 2, Longest scaffold: 193883, Longest contig: 193883, N50 (scaffolds): 193883, N50 (contigs): 193883, Mean scaffold length: 128001.5, Mean contig length: 128001.5, Coding density: 0.9165478529548482, Translation table: 11"," predicted genes: 264, GCN0: [PF00886, PF00573, PF00466, PF01281, TIGR00019, PF00829, PF00831, PF12344, PF00453, PF04983, PF01649, PF03948, PF00889, TIGR00084, PF03719, PF05697, PF00338, PF02912, PF00572, PF04563, PF06071, PF04997, PF00181, PF06421, TIGR00615, PF01018, PF01016, PF04998, PF00333, PF03947, TIGR00344, PF03484, TIGR00460, PF00347, TIGR00329, PF00252, PF01000, PF03946, PF00673, PF00687, PF02033, TIGR00922, PF02130, PF04561, PF00162, PF00237, PF00416, TIGR00459, PF01121, PF01509, PF00238, PF04565, PF01746, PF01632, PF00366, PF00828, TIGR02075, TIGR02432, PF04560, PF08529, PF05000, PF11987, PF00189, PF01765, PF00410, TIGR00967, PF01409, TIGR01079, PF02367, PF02978, PF00276, PF00281, PF01193, PF00318, TIGR00810, PF05491, TIGR03263, PF00861, PF01795, PF00177, PF10385, PF13603, PF01195, PF00164, PF00411, TIGR00392, PF01245, PF00203, TIGR03723, PF01250, PF01668, PF00312, PF01196, PF00298, TIGR00755, PF00297, PF08459, TIGR00855, PF13184, TIGR03594, TIGR00250, PF00380], GCN1: [PF00562, PF00623], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.2,Laura1,{marker lineage: k__Bacteria,5449,104," marker sets: 58, 0: 91, 1: 8, 2: 5, 3: 0, 4: 0, 5+: 0",18.96551724137931,5.172413793103448,0.6950223244750336,0.0011053541212656807,307734,0,2," contigs: 2, Longest scaffold: 266060, Longest contig: 266060, N50 (scaffolds): 266060, N50 (contigs): 266060, Mean scaffold length: 153867.0, Mean contig length: 153867.0, Coding density: 0.9131685156661272, Translation table: 11"," predicted genes: 306, GCN0: [PF00573, PF00466, PF01281, TIGR00019, PF00829, PF00831, PF04983, PF01649, PF03948, PF00889, TIGR00084, PF03719, PF05697, PF00338, PF00572, PF04563, PF06071, PF04997, PF00181, PF06421, TIGR00615, PF01016, PF04998, PF00333, PF03947, TIGR00344, TIGR00460, PF00347, TIGR00329, PF00252, PF01000, PF03946, PF00673, PF00687, PF02033, TIGR00922, PF00562, PF04561, PF00162, PF00237, PF00416, TIGR00459, PF00623, PF01509, PF00238, PF04565, PF00366, PF00828, TIGR02075, TIGR02432, PF04560, PF08529, PF05000, PF11987, PF00189, PF01765, PF00410, TIGR00967, TIGR01079, PF02367, PF00276, PF00281, PF01193, PF00318, TIGR00810, PF05491, TIGR03263, PF00861, PF01795, PF00177, PF10385, PF13603, PF01195, PF00164, PF00411, TIGR00392, PF00203, TIGR03723, PF01250, PF01668, PF00312, PF01196, PF00298, TIGR00755, PF00297, PF08459, TIGR00855, PF13184, TIGR03594, TIGR00250, PF00380], GCN1: [PF00886, PF12344, PF01018, PF02130, PF01121, PF01746, PF02978, PF01245], GCN2: [PF00453, PF02912, PF03484, PF01632, PF01409], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.3,Laura1,{marker lineage: k__Bacteria,5449,104," marker sets: 58, 0: 101, 1: 3, 2: 0, 3: 0, 4: 0, 5+: 0",3.4482758620689653,0,0.45247848686423664,0.006863764224770937,368612,0,3," contigs: 3, Longest scaffold: 225611, Longest contig: 225611, N50 (scaffolds): 225611, N50 (contigs): 225611, Mean scaffold length: 122870.66666666667, Mean contig length: 122870.66666666667, Coding density: 0.9108140809306262, Translation table: 11"," predicted genes: 347, GCN0: [PF00886, PF00573, PF00466, PF01281, TIGR00019, PF00829, PF00831, PF12344, PF00453, PF04983, PF01649, PF03948, PF00889, TIGR00084, PF03719, PF05697, PF00338, PF02912, PF00572, PF04563, PF06071, PF04997, PF00181, PF06421, TIGR00615, PF01018, PF01016, PF04998, PF00333, PF03947, TIGR00344, PF03484, TIGR00460, PF00347, TIGR00329, PF00252, PF01000, PF03946, PF00673, PF00687, PF02033, TIGR00922, PF00562, PF02130, PF04561, PF00162, PF00237, PF00416, TIGR00459, PF00623, PF01121, PF01509, PF00238, PF04565, PF01746, PF01632, PF00366, PF00828, TIGR02075, TIGR02432, PF04560, PF05000, PF00189, PF01765, PF00410, TIGR00967, PF01409, TIGR01079, PF02367, PF02978, PF00276, PF00281, PF01193, PF00318, TIGR00810, PF05491, TIGR03263, PF00861, PF01795, PF00177, PF10385, PF13603, PF01195, PF00164, PF00411, TIGR00392, PF01245, PF00203, TIGR03723, PF01250, PF01668, PF00312, PF01196, PF00298, TIGR00755, PF00297, PF08459, TIGR00855, TIGR03594, TIGR00250, PF00380], GCN1: [PF08529, PF11987, PF13184], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.43,Laura1,{marker lineage: root,5656,56," marker sets: 24, 0: 56, 1: 0, 2: 0, 3: 0, 4: 0, 5+: 0",0,0,0.6762353367885539,0.01261797163158347,1257228,0,9," contigs: 9, Longest scaffold: 422216, Longest contig: 422216, N50 (scaffolds): 243805, N50 (contigs): 243805, Mean scaffold length: 139692.0, Mean contig length: 139692.0, Coding density: 0.9230465754819333, Translation table: 11"," predicted genes: 1170, GCN0: [PF00281, PF01193, PF00573, PF00416, PF00318, PF00466, PF00623, PF00333, PF00861, PF03947, PF00831, PF01509, PF00238, PF04983, PF00177, PF04565, TIGR00344, PF03484, PF00164, PF00366, PF00411, PF00347, TIGR00392, PF04560, TIGR00329, PF03719, PF00203, TIGR00468, PF00338, PF00252, PF00312, PF05000, PF01000, PF00572, PF11987, PF00298, PF00189, PF03946, PF04563, TIGR00755, PF00297, PF00673, PF00687, PF00410, PF04997, PF08459, PF00181, TIGR00967, PF00562, PF02978, PF00276, PF13184, PF04561, PF00162, PF00237, PF00380], GCN1: [], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.29,Laura1,{marker lineage: k__Bacteria,5449,104," marker sets: 58, 0: 102, 1: 2, 2: 0, 3: 0, 4: 0, 5+: 0",3.4482758620689653,0,0.6720443537836983,0.005416801200958078,844663,0,6," contigs: 6, Longest scaffold: 434985, Longest contig: 434985, N50 (scaffolds): 434985, N50 (contigs): 434985, Mean scaffold length: 140777.16666666666, Mean contig length: 140777.16666666666, Coding density: 0.9076128586193547, Translation table: 11"," predicted genes: 734, GCN0: [PF00886, PF00573, PF00466, PF01281, PF00829, PF00831, PF12344, PF00453, PF04983, PF01649, PF03948, PF00889, TIGR00084, PF03719, PF05697, PF00338, PF02912, PF00572, PF04563, PF06071, PF04997, PF00181, PF06421, TIGR00615, PF01018, PF01016, PF04998, PF00333, PF03947, TIGR00344, PF03484, TIGR00460, PF00347, TIGR00329, PF00252, PF01000, PF03946, PF00673, PF00687, PF02033, TIGR00922, PF00562, PF02130, PF04561, PF00162, PF00237, PF00416, TIGR00459, PF00623, PF01121, PF01509, PF00238, PF04565, PF01746, PF01632, PF00366, PF00828, TIGR02075, TIGR02432, PF04560, PF08529, PF05000, PF11987, PF00189, PF01765, PF00410, TIGR00967, PF01409, TIGR01079, PF02367, PF00276, PF00281, PF01193, PF00318, TIGR00810, PF05491, TIGR03263, PF00861, PF01795, PF00177, PF10385, PF13603, PF01195, PF00164, PF00411, TIGR00392, PF01245, PF00203, TIGR03723, PF01250, PF01668, PF00312, PF01196, PF00298, TIGR00755, PF00297, PF08459, TIGR00855, PF13184, TIGR03594, TIGR00250, PF00380], GCN1: [TIGR00019, PF02978], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.21,Laura1,{marker lineage: k__Bacteria,5449,104," marker sets: 58, 0: 74, 1: 30, 2: 0, 3: 0, 4: 0, 5+: 0",39.98432601880877,0,0.683307582439895,0.020933630433282054,2295066,0,552," contigs: 552, Longest scaffold: 20805, Longest contig: 20805, N50 (scaffolds): 4141, N50 (contigs): 4141, Mean scaffold length: 4157.728260869565, Mean contig length: 4157.728260869565, Coding density: 0.8942461785412708, Translation table: 11"," predicted genes: 2559, GCN0: [PF00573, PF00466, PF00829, PF00831, PF12344, PF04983, PF01649, PF00889, TIGR00084, PF03719, PF05697, PF00572, PF04563, PF06071, PF04997, PF00181, PF06421, PF01016, PF04998, PF00333, PF03947, TIGR00344, PF03484, PF00347, TIGR00329, PF00252, PF03946, PF00673, PF00687, PF02033, TIGR00922, PF00562, PF02130, PF04561, PF00237, PF00416, PF00623, PF01121, PF01509, PF00238, PF04565, PF00366, PF00828, TIGR02075, TIGR02432, PF04560, PF08529, PF05000, PF11987, PF00189, PF01765, PF00410, TIGR00967, TIGR01079, PF02978, PF00276, PF00281, TIGR00810, PF05491, PF00861, PF00177, PF10385, PF01195, PF00164, PF00411, PF00203, TIGR03723, PF00312, PF00298, PF08459, TIGR00855, PF13184, TIGR03594, PF00380], GCN1: [PF00886, PF01281, TIGR00019, PF00453, PF03948, PF00338, PF02912, TIGR00615, PF01018, TIGR00460, PF01000, PF00162, TIGR00459, PF01746, PF01632, PF01409, PF02367, PF01193, PF00318, TIGR03263, PF01795, PF13603, TIGR00392, PF01245, PF01250, PF01668, PF01196, TIGR00755, PF00297, TIGR00250], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
Laura1metabat.42,Laura1,{marker lineage: k__Bacteria,5449,104," marker sets: 58, 0: 96, 1: 8, 2: 0, 3: 0, 4: 0, 5+: 0",12.068965517241379,0,0.6203664288803905,0.012792084819220464,582596,0,123," contigs: 123, Longest scaffold: 17821, Longest contig: 17821, N50 (scaffolds): 5049, N50 (contigs): 5049, Mean scaffold length: 4736.552845528456, Mean contig length: 4736.552845528456, Coding density: 0.9176170107587419, Translation table: 11"," predicted genes: 663, GCN0: [PF00886, PF00573, PF00466, PF01281, TIGR00019, PF00829, PF00831, PF12344, PF00453, PF04983, PF01649, PF03948, PF00889, PF03719, PF05697, PF00338, PF02912, PF00572, PF04563, PF06071, PF04997, PF00181, PF01018, PF01016, PF04998, PF00333, PF03947, TIGR00344, PF03484, TIGR00460, PF00347, PF00252, PF01000, PF03946, PF00673, PF00687, PF02033, TIGR00922, PF00562, PF02130, PF04561, PF00162, PF00237, PF00416, TIGR00459, PF00623, PF01121, PF01509, PF00238, PF04565, PF01746, PF01632, PF00366, PF00828, TIGR02075, TIGR02432, PF04560, PF08529, PF05000, PF11987, PF00189, PF01765, PF00410, TIGR00967, PF01409, TIGR01079, PF02367, PF02978, PF00276, PF00281, PF01193, PF00318, TIGR00810, TIGR03263, PF00861, PF01795, PF00177, PF10385, PF13603, PF01195, PF00164, PF00411, TIGR00392, PF01245, PF00203, PF01250, PF00312, PF01196, PF00298, TIGR00755, PF00297, PF08459, TIGR00855, PF13184, TIGR03594, PF00380], GCN1: [TIGR00084, PF06421, TIGR00615, TIGR00329, PF05491, TIGR03723, PF01668, TIGR00250], GCN2: [], GCN3: [], GCN4: [], GCN5+: []}",Low
