EC_number,BinID,Enrichment,product,gene,Classification,Confidence,Tax_Level,Quality,General_Pathway
4.2.1.17,Emma2metabat.1,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Rhodobacter sp. SGA-6-6,0.51,species,Low,Benzoate degradation
4.2.1.17,Emma2metabat.1,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Rhodobacter sp. SGA-6-6,0.51,species,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.1,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Rhodobacter sp. SGA-6-6,0.51,species,Low,Benzoate degradation
4.2.1.17,Emma2metabat.1,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Rhodobacter sp. SGA-6-6,0.51,species,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_1,Achromobacter,0.81,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_1,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,putative enoyl-CoA hydratase,fadB,Achromobacter,0.81,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,putative enoyl-CoA hydratase,fadB,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
3.1.1.24,Emma2metabat.10,Emma2,3-oxoadipate enol-lactonase 2,catD,Achromobacter,0.81,genus,Low,Benzoate degradation
5.3.3.4,Emma2metabat.10,Emma2,Muconolactone Delta-isomerase,catC,Achromobacter,0.81,genus,Low,Benzoate degradation
2.8.3.6,Emma2metabat.10,Emma2,3-oxoadipate CoA-transferase subunit B,pcaJ,Achromobacter,0.81,genus,Low,Benzoate degradation
2.8.3.6,Emma2metabat.10,Emma2,3-oxoadipate CoA-transferase subunit A,pcaI,Achromobacter,0.81,genus,Low,Benzoate degradation
1.14.13.24,Emma2metabat.10,Emma2,3-hydroxybenzoate 6-hydroxylase,mhbM,Achromobacter,0.81,genus,Low,Benzoate degradation
4.2.1.83,Emma2metabat.10,Emma2,4-oxalmesaconate hydratase,galB,Achromobacter,0.81,genus,Low,Benzoate degradation
4.1.3.17,Emma2metabat.10,Emma2,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK,Achromobacter,0.81,genus,Low,Benzoate degradation
3.6.1.7,Emma2metabat.10,Emma2,Acylphosphatase,acyP,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Achromobacter,0.81,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
3.5.1.4,Emma2metabat.10,Emma2,Putative amidase AmiD,amiD_1,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
3.5.1.4,Emma2metabat.10,Emma2,Putative amidase AmiD,amiD_2,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
2.3.1.9,Emma2metabat.10,Emma2,Acetyl-CoA acetyltransferase,thlA,Achromobacter,0.81,genus,Low,Benzoate degradation
1.8.1.4,Emma2metabat.10,Emma2,Dihydrolipoyl dehydrogenase,lpd,Achromobacter,0.81,genus,Low,Citrate cycle (TCA cycle)
